Headers,Data
A5ILB0,8.5 3.3
P08144,7.35 3.3
P29957,7.35 3.3
H2N0D4,7.0 3.3
T1WDH2,9.0 3.3
T1WE96,9.0 3.3
H9B4I9,
A0A060DAC6,8.5 3.3 
Q47R94,7.35 3.3
Q5UZY3,
D8J7H2,
Q4A3E0,
L8B068,7.0 3.3
Q2QC88,5.75 3.3
O93647,5.25 3.3
Q4J9M2,3.25 3.3
Q97YY0,
O33476,6.5 3.3
D0KTV8,
P96107,
P06279,
P04746,
P00690,7.35 3.3
O08452,5.75 3.3
D4P4Y7,5.5 3.3
Q1KLC8,7.0 3.3
Q8A1G3,
P17654,
B8Y698,8.0 3.3
P00692,6.0 3.3
B8Y1H0,
B1VK33,7.0 3.3
B5ARZ9,6.5 3.3
P20845,
B6RB08,6.5 3.3
P06278,6.466666666666666 3.3
P04063,
P00693,
Q8LJQ6,
Q2KJQ1,
Q6WUB6,9.5 3.3 
A8VWC5,
A0SEG1,
P04745,6.9 3.3
Q75UG5,7.0 3.3
